LNR,RESPONSE
1754,0.01019316744051033
1770,0.048517051404790415
1465,5.420344948700342e-06
1470,0.0001814394375690015
1478,0.00017005808361768198
1782,1.8369822379450914e-05
1485,0.000111300180457199
1519,0.1596269992070937
1835,0.0035777994759257875
1522,6.804976016835936e-05
1539,7.377625257729756e-07
1853,0.09561921939896688
1856,0.0031274307015812727
2502,0.0007743643434155046
2182,0.0824125315481815
2191,0.020153866404949494
2522,0.000391126969376445
2530,0.18704089354027142
2215,0.00016984369061882713
2550,0.0020856860154895903
2570,0.00019493115449871715
2574,0.0001836175783883634
2579,0.000609964933201492
2247,0.007045733507578182
2674,0.00017384453829091034
11434,0.0015232582430889621
11122,0.034666559287203635
11127,0.029645794420465485
11443,0.010259944026867885
11170,0.3616536640480964
11191,0.00024016218668833223
11198,0.015663895866864643
10936,0.17016569000689374
11244,6.581164470039154e-05
11247,0.0008603088059614414
11252,4.400932527849637e-05
11259,0.32345605628362983
10945,0.00030846544065034944
10951,0.0029943221575339583
11271,0.0007651821197688621
10963,0.013658916965433771
11282,1.2197065878864846e-06
11291,6.0822712583718155e-05
10980,3.328723015956109e-07
10994,4.44467171050769e-07
10998,0.3616536640480964
11303,0.0036518612154373
11630,0.00014114983819601506
11636,0.003536598826128399
11949,1.3618088876302054e-05
11950,0.009038073186306379
11956,0.11657172104093044
11648,0.3616536640480964
11653,0.04120746758607548
11967,0.00024010077333808805
11972,0.00019965833661749057
11975,6.228066706085693e-06
12110,0.0019247072615621373
12113,0.011029665767761706
11712,0.0005867161953132867
11716,0.16640510056406638
12000,4.845296981318046e-06
11722,0.01007589734015403
12023,0.3616536640480964
12046,0.00011081046075479278
11762,0.32345605628362983
12071,5.227996029509097e-05
12077,0.0021340596653601435
11785,0.013805407795457334
11788,6.562710213652092e-05
11790,1.3934946029832236e-05
11800,0.0010722401152974208
11806,9.863516912914962e-05
11816,5.092195394699316e-05
11505,0.0004094374362596885
11837,8.020471196408646e-05
11531,0.004653918852307015
11848,0.0015505173381828987
11854,0.0004512208860488301
11877,0.0007400672716922032
11563,1.106636521921239e-05
11567,1.9993338432361196e-05
11894,3.094427761262151e-05
11906,0.0009060650187356629
11917,0.3616536640480964
11610,0.3616536640480964
11923,9.903424358301813e-06
12596,4.483785467681513e-05
12603,0.0008885590614331264
12608,0.0008596389327532132
12633,5.77739134704455e-05
12637,0.0008259969178396357
21484,0.32345605628362983
21184,0.002991766013807187
21247,9.790388575099482e-05
20991,0.006215778124154267
21018,0.00019887908590850517
21019,0.02220874726245252
21047,0.00024163110377694108
21054,0.0007869035306490292
21374,0.0009990233943143131
21392,1.0085310609458273e-05
21713,1.7368400533194844e-05
22019,0.0014257463074603125
22025,0.006829110584841494
21722,0.06616249182783608
21728,0.0023652595634434262
22039,0.3616536640480964
22044,0.000279335906162727
61900,7.8140397726841e-06
62548,0.0016591604642774889
63176,0.0002710926492795196
64473,0.03931221961231482
64779,0.0013139817102350675
64780,0.0001711421017723065
64784,0.0005479601166681866
65105,0.3616536640480964
65431,0.004029352665863356
65433,0.11486053434815915
66055,3.777156162042721e-05
66071,0.3616536640480964
61280,0.021700591967987203
61281,0.004953778839678579
61284,1.1723948644610245e-07
61597,3.721975309506006e-05
61606,0.00012134178507086174
62235,0.015261755879684348
62240,4.2481264976912e-05
62241,0.0003232265163698943
62555,0.0699939239960408
62557,0.0044672379948314574
62565,0.0020603441256216624
62566,0.005468037022907308
63515,8.158156343045747e-05
63524,0.0072691408131810185
64797,0.010438981800344846
65116,0.16640510056406638
75249,0.0007497402373864028
75253,0.011452448923038335
75575,0.5341126249806699
76212,0.0001248642325375889
71422,0.00021055438848814105
72059,0.002056767260323349
72060,0.00024076297747101688
72383,0.0003034867307687216
72386,0.0030420644206576807
72700,0.0005323196119630396
72715,0.0029885649442454696
73028,0.002395935255051711
73346,0.0021609888202041897
73658,0.0002993635559253153
73662,0.002670034215536595
73666,0.0018846281348686893
73668,8.80507487504085e-05
73985,0.24770911617218977
74299,0.0001930142650489942
74310,0.0019883392710063827
74312,0.0008084426056971703
74619,2.5582051996715507e-05
74620,0.00020789084854095944
74627,7.12388920068084e-06
74938,0.00011556666346477877
74952,0.00014347244240353054
75911,0.0004565674794986733
75913,4.5724434292726243e-05
76221,0.001023898931570214
76227,0.0007212299536649972
71448,2.1247484702277404e-05
15887,0.0008349253163401679
15498,0.00451542118862776
15504,0.0011440324494238709
15507,7.423327284287737e-05
15521,0.0005682354257935012
24403,0.00011879722468606634
24100,0.38585537903547024
24436,0.0001757869332160559
24440,2.6951994529708695e-05
24442,0.17016569000689374
24148,8.289592512259468e-06
24149,0.0023755437154307623
24155,0.00023312865943293464
24458,4.487161455923807e-05
24169,0.00014319995619648982
24477,0.014986114494711527
24479,0.0014170994605361786
24486,0.0005386038804463724
24190,0.0013811644407302334
24515,0.010405030789277209
24214,0.011953014642454728
25183,0.3616536640480964
25207,0.0003228583130944187
24889,0.0007444547539095155
24890,0.0001631121024794766
25226,9.363991342896494e-05
25232,0.0016338248071709374
25244,2.38158703043696e-05
25339,7.909920265324214e-05
25355,0.003989721859635252
24958,5.605327442566153e-05
25277,0.00024330814660974994
25286,0.007156464379805072
24988,0.3616536640480964
25298,0.0003791779198980455
25309,0.029641720689059056
25315,0.0001497270647613561
25014,0.5341126249806699
25322,0.00019378283095398773
25333,0.01688285855235563
25025,0.0005530137141614982
24726,0.000279993440890264
24735,0.32345605628362983
25055,4.637726066702203e-05
25056,0.00023367937084832038
24746,0.0016996132818479412
25061,0.0005195866821370621
25067,0.0003687451272351339
25074,4.428926734724889e-06
24773,9.961088963296674e-05
25080,0.32345605628362983
25086,8.798874702981039e-05
25088,0.0010933537789388345
24777,0.00047608662738693626
24796,0.0001682918044952964
25104,0.0002479169186315831
24806,0.001068870751440326
25118,0.004452490880637011
24822,0.5341126249806699
82811,0.0038842807795130296
83449,0.0008931618507915598
83459,0.32345605628362983
83770,0.3616536640480964
84091,0.00029155318300221414
84096,3.895274303402083e-05
84737,0.0005570742091365239
85048,0.39934135490236566
85049,0.006731301442930718
85051,0.002376640836170572
85369,1.508951309778827e-05
85374,0.0002171925020113083
85380,0.02712039058448245
82190,0.0001940525501565288
82505,0.0049235837382012974
82515,0.0035893626204743633
82517,0.013994545640495442
82821,0.3236033637679563
83140,0.00175579111350315
788,0.00105286333792007
1102,0.00015442734080299794
1109,7.065645696185369e-05
821,0.0015396635332702213
829,0.0055252717755920906
837,0.00328575924950254
845,0.006292233068789896
1163,0.0048782651226994345
861,0.32345605628362983
899,5.061734848521309e-05
1207,0.0020952273755127787
906,0.0008454277717653504
1221,0.2867607125687214
1545,0.0024162224038984737
1546,0.014148461276701624
1555,0.0020034490917989855
1556,0.0031568864482464246
1879,4.095323328463267e-05
1885,0.000879280364224506
1593,0.0008500111424966722
1902,0.000283696616821574
1611,8.037444657075604e-05
1921,0.00012848578916819045
1927,0.024866031361448913
1651,0.0001410581041528408
1978,0.01886211084378864
1718,0.0004869133813814155
1722,2.8127305759559737e-05
1734,0.007410869988990739
41705,0.021757793470586047
41711,0.3616536640480964
41712,9.030911111818943e-05
42029,0.000990291203363229
42347,5.964806199208314e-05
