LNR,RESPONSE
1754,0.6896737129441848
1770,0.7108668489280502
1465,0.09562032745313823
1470,0.07017026058556622
1478,0.0947053495061577
1782,0.10409701792750505
1485,0.05394825099851971
1519,0.6673764683674763
1835,0.5504919477424407
1522,0.10932012510269484
1539,0.04549418583240934
1853,0.41519475413191437
1856,0.24600044666963483
2502,0.24986050573589966
2182,0.7312624302496692
2191,0.5187624940464955
2522,0.31660853648520754
2530,0.7233681355787435
2215,0.1195837774209868
2550,0.5343467928330182
2570,0.19568942647596896
2574,0.187707181210667
2579,0.17010897017994028
2247,0.6403312519422878
2674,0.07886492285436719
11434,0.1545733571924803
11122,0.7321369911838894
11127,0.6978575304515956
11443,0.6751229518737657
11170,0.43253029042041835
11191,0.17586390137971222
11198,0.7641723234896398
10936,0.40785936153808167
11244,0.1718764808952484
11247,0.6312155951970814
11252,0.08755155228168339
11259,0.40785936153808167
10945,0.06848265319945163
10951,0.16226821268019948
11271,0.4180373527089692
10963,0.6474781134119302
11282,0.08355044393588804
11291,0.09401357380723194
10980,0.024002647686277086
10994,0.054264901095556914
10998,0.43253029042041835
11303,0.17939995411947962
11630,0.08010338761322439
11636,0.0782997633339492
11949,0.12217156193418928
11950,0.6733996748830592
11956,0.7387222827441642
11648,0.43253029042041835
11653,0.5578158343275658
11967,0.07283167553559881
11972,0.08874488950731811
11975,0.10082849047998975
12110,0.14276474896207364
12113,0.5802715415258677
11712,0.09956048957904809
11716,0.40785936153808167
12000,0.02868135527395315
11722,0.6793570442063557
12023,0.43253029042041835
12046,0.08769618893330032
11762,0.40785936153808167
12071,0.30726437798708556
12077,0.14261068263359414
11785,0.5903835219198452
11788,0.12557665108696708
11790,0.06327017538230127
11800,0.4554427167241499
11806,0.09424264520604593
11816,0.044595239671178184
11505,0.15432864770989618
11837,0.0924396082233673
11531,0.45518744664098254
11848,0.16662593970650505
11854,0.0883659849514114
11877,0.25058441616272487
11563,0.09073191502035742
11567,0.07998416500454054
11894,0.07380633218985402
11906,0.202316384284778
11917,0.43253029042041835
11610,0.43253029042041835
11923,0.05618924754035156
12596,0.06926794534892748
12603,0.23515494162512976
12608,0.2129688751460643
12633,0.07620248499239388
12637,0.20886200187094361
21484,0.40785936153808167
21184,0.12937707562064146
21247,0.2371942773735315
20991,0.6338152695683714
21018,0.06340874980798217
21019,0.6663940292844678
21047,0.0698201515958076
21054,0.15813976276414415
21374,0.06646529436095108
21392,0.1039890813954559
21713,0.07834691492759834
22019,0.24319249771946888
22025,0.5980101674404934
21722,0.7713918890916981
21728,0.24053007485703243
22039,0.43253029042041835
22044,0.10457328357459089
61900,0.07688350811094019
62548,0.5003737568958216
63176,0.17649924544495252
64473,0.5289537575116185
64779,0.7917557160130552
64780,0.0838272844723122
64784,0.20059030006085998
65105,0.43253029042041835
65431,0.5475300892414052
65433,0.6817353809621927
66055,0.0534148828926097
66071,0.43253029042041835
61280,0.4341162458225268
61281,0.5490346797369253
61284,0.04551244881052927
61597,0.10441329719757
61606,0.04995706519962133
62235,0.6911287823936857
62240,0.1090087869005965
62241,0.09686062187764757
62555,0.6079321102067974
62557,0.40565197345525067
62565,0.1264283477658391
62566,0.7636074792374054
63515,0.11002329759492135
63524,0.640984544141742
64797,0.3391488550548654
65116,0.40785936153808167
75249,0.16116531272281556
75253,0.7744336534627396
75575,0.4544571913776182
76212,0.1089232686166258
71422,0.12495660111540056
72059,0.524299919002707
72060,0.22159277404615887
72383,0.230545406233121
72386,0.14859002638702515
72700,0.1805378647228713
72715,0.2262889796735549
73028,0.2379844824095484
73346,0.2758049017239374
73658,0.12740734425334738
73662,0.5695209359395584
73666,0.43253029042041835
73668,0.4159149848145107
73985,0.5942964727701407
74299,0.031249503611886255
74310,0.2231740611583516
74312,0.8300678247957596
74619,0.1020718080804333
74620,0.07075988148862826
74627,0.09158126953568302
74938,0.14637093044217067
74952,0.1406560695140357
75911,0.1310595573929456
75913,0.08856731270805827
76221,0.11068890707591088
76227,0.11084373733480359
71448,0.05983926999324652
15887,0.10967270845967975
15498,0.2287000261165441
15504,0.6898923458335616
15507,0.11964326930195694
15521,0.1657259939551828
24403,0.07845317419070531
24100,0.8141014148318438
24436,0.18333821577118722
24440,0.04837173985506716
24442,0.40785936153808167
24148,0.0885582146514089
24149,0.18830807167948815
24155,0.11007283527649069
24458,0.11892002395026059
24169,0.6792002222457814
24477,0.7981791898236192
24479,0.20055333810695777
24486,0.24003003952538451
24190,0.5973576999618325
24515,0.671804705476928
24214,0.6368323281315308
25183,0.43253029042041835
25207,0.18771281551651328
24889,0.4457720470989378
24890,0.15849041725920412
25226,0.43249822825993556
25232,0.4192207499278168
25244,0.038895622091105975
25339,0.05361752676119734
25355,0.8256142163244341
24958,0.06953315348836103
25277,0.11562722754106618
25286,0.7234865533240833
24988,0.43253029042041835
25298,0.026701870805240082
25309,0.7718374269865514
25315,0.06442906873179989
25014,0.4544571913776182
25322,0.17219204223842366
25333,0.6574579415879376
25025,0.4591844046462724
24726,0.19909893973143428
24735,0.40785936153808167
25055,0.16067740376468947
25056,0.09158680700516644
24746,0.5358679541953432
25061,0.1766470338383301
25067,0.13377146300498277
25074,0.05373057096146139
24773,0.2144760921087729
25080,0.40785936153808167
25086,0.638164038239628
25088,0.10941418862839995
24777,0.0699907116237777
24796,0.17408586484257732
25104,0.08434368839851143
24806,0.09994354846987093
25118,0.25223016204549176
24822,0.4544571913776182
82811,0.6888544147958438
83449,0.3950719999419226
